Galaxy,Type,Dist (million parsecs),M_BH,M_low (solar masses),M_high (solar masses),Method Ref.,sigma_e,sigma_dev,M0 V.T,M0 V.bulge,M0 V.bulge dev,R_infl/d_res,Samp.,Ratio,sigma2,ratio2
N4473,E4,17.0,130000000,36000000,180000000,Stars: 6,190,9,-21.14,-21.14,0.04,2.11,RS,684210,36100,3601
N4486: M87,E1,17.0,3600000000,2600000000,4600000000,Gas: 23,375,18,-22.92,-22.92,0.04,6.43,RS,9600000,140625,25600
N4486A,E2,17.0,13000000,9000000,18000000,Stars: 24,111,5,-18.7,-18.7,0.05,3.74,S,117117,12321,1055
N4564,S0,17.0,69000000,59000000,73000000,Stars: 6,162,8,-20.1,-19.6,0.32,1.46,RS,425925,26244,2629
N4594,Sa,10.3,570000000,170000000,1100000000,Stars: 25,240,12,-22.52,-22.44,0.15,8.48,S,2375000,57600,9895
N4596,SB0,18.0,84000000,59000000,120000000,Gas: 12,136,6,-20.7,,,1.86,RS,617647,18496,4541
N4649: M60,E2,16.5,2100000000,1500000000,2600000000,Stars: 6,385,19,-22.65,-22.65,0.05,10.2,RS,5454545,148225,14167
N4697,E6,12.4,200000000,180000000,220000000,Stars: 6,177,8,-21.29,-21.29,0.11,4.63,RS,1129943,31329,6383
N5077,E3,44.9,800000000,470000000,1300000000,Gas: 26,222,11,-22.04,-22.04,0.13,2.45,RS,3603603,49284,16232
N5128.,S0/E,4.4,300000000,280000000,340000000,Stars: 27,150,7,-21.82,-21.82,0.08,42.4,S,2000000,22500,13333
N5128.,S0/E,4.4,70000000,32000000,83000000,Stars: 32,150,7,-21.82,-21.82,0.08,42.4,S,466666,22500,3111
N5576,E3,27.1,180000000,140000000,210000000,Stars: 17,183,9,-21.26,-21.26,0.13,3.55,S,983606,33489,5374
N5845,E3,28.7,290000000,120000000,340000000,Stars: 6,234,11,-19.77,-19.77,0.13,1.65,S,1239316,54756,5296
N6251,E1,106.0,600000000,400000000,800000000,Gas: 28,290,14,,,,0.52,S,2068965,84100,7134
N7052,E3,70.9,400000000,240000000,680000000,Gas: 29,266,13,,,,0.65,S,1503759,70756,5653
N7457,S0,14.0,4100000,2400000,5300000,Stars: 6,67,3,-19.8,-18.72,0.11,0.53,S,61194,4489,913
N7582.,SBab,22.3,55000000,44000000,71000000,Gas: 30,156,19,-21.51,,,0.22,S,352564,24336,2260
A1836-BCG,E,157.5,3900000000,3300000000,4300000000,Gas: 31,288,14,-23.31,-23.31,0.15,2.63,S,13541666,82944,47019
A3565-BCG,E,54.4,520000000,440000000,600000000,Gas: 31,322,16,-23.27,-23.27,0.15,0.81,S,1614906,103684,5015
